,name,code,deaths
123,Myanmar,MMR,2976656
124,Namibia,NAM,236845
125,Nauru,NRU,55227
126,Nepal,NPL,862820
127,Netherlands,NLD,1120941
128,New Zealand,NZL,284889
129,Nicaragua,NIC,195232
130,Niger,NER,834143
131,Nigeria,NGA,8481737
132,Niue,NIU,57117
133,North Korea,PRK,1775088
134,North Macedonia,MKD,256670
135,Northern Mariana Islands,MNP,61338
136,Norway,NOR,390712
137,Oman,OMN,145755
138,Pakistan,PAK,6811974
139,Palau,PLW,62333
140,Palestine,PSE,185830
141,Panama,PAN,163916
142,Papua New Guinea,PNG,315767
143,Paraguay,PRY,231914
144,Peru,PER,807857
145,Philippines,PHL,3155366
146,Poland,POL,3439503
147,Portugal,PRT,890213
148,Puerto Rico,PRI,261320
149,Qatar,QAT,81568
150,Romania,ROU,2500372
151,Russia,RUS,20973813
152,Rwanda,RWA,592814
153,Saint Kitts and Nevis,KNA,69213
154,Saint Lucia,LCA,73339
155,Saint Vincent and the Grenadines,VCT,72505
156,Samoa,WSM,75234
157,San Marino,SMR,69587
158,Sao Tome and Principe,STP,74279
159,Saudi Arabia,SAU,752555
160,Senegal,SEN,554082
161,Serbia,SRB,1172382
162,Seychelles,SYC,74325
163,Sierra Leone,SLE,501698
164,Singapore,SGP,193268
165,Slovakia,SVK,560535
166,Slovenia,SVN,232295
167,Solomon Islands,SLB,103452
168,Somalia,SOM,790246
169,South Africa,ZAF,5599452
170,South Korea,KOR,2085789
171,South Sudan,SSD,498237
172,Spain,ESP,2958375
173,Sri Lanka,LKA,911670
174,Sudan,SDN,1302412
175,Suriname,SUR,100964
176,Sweden,SWE,843549
177,Switzerland,CHE,581446
178,Syria,SYR,584711
179,Taiwan,TWN,1096733
180,Tajikistan,TJK,379552
181,Tanzania,TZA,2921039
182,Thailand,THA,3051973
183,Timor,TLS,115599
184,Togo,TGO,414286
185,Tokelau,TKL,80428
186,Tonga,TON,84597
187,Trinidad and Tobago,TTO,152594
188,Tunisia,TUN,500872
189,Turkey,TUR,2538104
190,Turkmenistan,TKM,325381
191,Tuvalu,TUV,83332
192,Uganda,UGA,2445548
193,Ukraine,UKR,7235594
194,United Arab Emirates,ARE,170565
195,United Kingdom,GBR,4667577
196,United States,USA,19083830
197,United States Virgin Islands,VIR,92451
198,Uruguay,URY,336965
199,Uzbekistan,UZB,1666361
200,Vanuatu,VUT,96326
201,Venezuela,VEN,1040644
202,Vietnam,VNM,3833786
203,Western Sahara,ESH,7955
204,World,OWID_WRL,361757621
205,Yemen,YEM,842211
206,Yugoslavia,OWID_YGS,24558
207,Zambia,ZMB,1224632
208,Zimbabwe,ZWE,1704909
