,Entity,Meningitis,Neoplasms,Fire heat and hot substances,Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Terrorism,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease
34,Brazil,136709,5606778,59983,39970,250078,1762966,447733,15696,223259,1352192,72806,1997167,1667293,225603,6817,528837,3038,333626,345404,598,1315755,7754,312031,133,9589019,820932,1743233,927028,1776565,8977,924942,171324
35,Brunei,56,9522,133,0,507,168,99,83,560,1849,75,1429,727,31,3,67,27,30,487,0,3592,40,12,0,10988,1354,2274,669,1308,97,401,218
36,Bulgaria,2152,555720,4586,0,7408,9627,1830,1664,7060,33528,565,80507,9563,5238,83,933,4375,314,47203,50,74257,2897,129,26,2423467,44226,99884,77343,125903,254,69091,24665
37,Burkina Faso,175973,187817,15183,950762,19688,37008,333447,870,178470,102398,46191,613248,451659,2993,156,553690,2958,140980,30023,1383,58917,13499,135194,133,441451,55275,60148,77027,142102,8774,25070,6916
38,Burundi,45933,118648,7316,320767,9904,2595,312891,291,259427,46865,39660,212757,244032,1844,235,278912,2161,92461,19662,163935,34307,6953,89397,4205,262614,24401,62574,47719,81242,5160,9765,2688
39,Cambodia,16138,278331,7357,13505,42415,14445,104487,801,258403,82216,32001,507250,205088,3476,1685,120610,134,50348,20553,4858,68902,2619,47177,528,610359,46626,108599,189074,293928,8616,29730,7467
40,Cameroon,96161,263938,13303,614095,16677,18472,743351,1280,202989,139475,82600,482863,446827,3772,192,718881,3131,42368,44504,7133,97869,9994,40188,2347,546358,97328,101447,99702,168672,16362,26747,9292
41,Canada,3089,2112700,9910,0,9602,16095,17171,37251,4676,92479,768,214127,31372,30411,366,29015,3968,8996,133442,185,195320,4193,7291,16,2213352,145149,402093,123127,288628,402,317320,82441
42,Cape Verde,865,12638,409,14,947,2135,2985,19,2485,1111,388,7217,5153,84,12,3818,50,774,1851,0,2177,79,699,0,21425,1911,2803,2489,4005,215,2245,419
43,Caribbean,63181,1507970,29485,34867,71751,212375,454028,7445,80222,197966,58402,533792,369918,32212,244454,269680,5632,75043,129233,1796,442298,9260,71479,0,2910458,247083,313106,218073,407156,5157,222375,49455
44,Central African Republic,31409,63736,4625,134707,9175,11668,279310,279,226165,72709,25629,178957,154874,1460,24,233317,1214,38999,15116,14808,23653,4131,37846,1987,166727,15374,39544,27344,53671,4039,3534,1235
45,Central America & Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1764,0,0,0,0,0,0,0,0
46,Central Asia,53069,2229913,97229,5054,184717,174879,31935,24678,298503,355228,21925,1144158,649061,117777,3678,176292,65761,15442,317307,37944,347542,49304,6367,1000,9138835,250390,652676,775206,1006994,26519,229044,61562
47,Central Europe,25200,9022569,61610,0,112844,105137,19551,23651,130234,509776,5808,860857,179873,224083,1266,20914,48959,9170,651691,53477,690273,48451,6503,0,20618628,466509,1269175,1086190,1858889,2567,1027316,252483
48,"Central Europe, Eastern Europe, and Central Asia",163180,24864700,621200,5054,960858,1755703,597177,369130,1148861,2343174,47986,3464938,1171255,1967098,8492,231086,862076,51008,3404743,141338,1551351,509507,25652,0,81254554,1135615,4344863,3814330,6397153,37205,2777437,679496
49,Central Latin America,81787,4613690,56689,27246,194006,1933899,318509,23834,232422,1173535,114371,1467292,1501880,230398,66866,669627,7338,471027,358362,41211,1897090,32745,425524,0,7256972,1832160,1469331,1431860,2370677,11028,853816,169865
50,Central sub-Saharan Africa,457830,1174329,66866,3132618,133365,115727,1795726,5619,2364145,1143026,378837,2571176,2288197,21317,2198,2888963,14620,721824,197245,201804,383693,58788,701012,0,2924837,271722,662269,521329,886683,69754,109129,26435
51,Chad,116529,123767,10891,195599,15683,21365,137491,247,196181,55181,69912,515058,381761,1858,272,762160,2962,124953,20414,11663,35722,8304,122237,1119,307518,39464,66005,62157,114101,14871,15577,4519
52,Chile,5138,683226,11909,0,14523,25098,12669,1104,18268,69879,2107,145744,29297,13931,1362,9474,1451,13622,62462,44,76500,1520,12987,44,722163,91120,131062,126817,200149,230,83528,24452
53,China,480898,61060528,383401,13419,2873619,776275,433709,626914,2708461,8350399,243257,8525819,4353667,485796,138961,886833,198582,584236,5078550,3043,3468554,770140,507664,988,100505973,4195276,36676826,4918899,8924906,318564,5381846,1533092
54,Colombia,21865,1042371,8913,22275,40400,709555,62414,2890,34691,224805,18788,214456,276396,2895,5882,61359,608,49530,71521,33084,161138,3442,47593,8393,1626208,174281,346961,92316,252124,749,206135,33628
55,Commonwealth,5676380,39951558,1263969,15218848,3404377,3227853,23338115,349402,26028744,8831208,4357016,35476392,43422148,781998,413698,44261790,447645,6268242,7729708,910100,9494361,539719,5003420,0,93608431,7949038,34374576,11279125,20574796,2414075,4427573,1470908
56,Commonwealth High Income,19058,9070907,32477,0,33715,56255,52028,124116,27620,302883,4032,1655456,130353,85342,1513,72684,11383,20051,421975,2086,591816,12268,15075,0,11048160,468245,2054157,444096,1335810,1706,1370559,327610
57,Commonwealth Low Income,908059,4240967,155753,4533973,841236,392691,10252217,14763,4193667,901192,771973,5928508,6989072,38390,163745,4948811,30677,1831929,553488,592646,1203998,114831,1694103,0,10232110,719888,2480682,1644886,2715328,275282,453727,126747
58,Commonwealth Middle Income,4749263,26639683,1075740,10684880,2529428,2778910,13033866,210524,21807455,7627131,3581011,27892430,36302729,658268,248439,39240298,405589,4416263,6754246,315367,7698546,412625,3294242,0,72328165,6760903,29839737,9190148,16523656,2137086,2603286,1016548
59,Comoros,2652,11620,447,7616,516,1457,19,34,10967,3669,1231,17561,18235,120,15,14204,131,3555,961,57,3494,352,3395,1,25908,2587,4369,3741,7092,331,1576,361
60,Congo,11566,67957,2391,69947,3621,5894,191273,448,69715,39775,13664,64391,69747,1175,28,99614,573,11970,10310,16445,24062,1921,11329,182,157498,15135,26271,25051,40923,1218,5445,1623
61,Cook Islands,0,719,0,0,30,0,16,0,3,142,0,272,40,0,20,30,0,0,69,0,617,0,0,0,1392,136,212,60,121,0,85,34
62,Costa Rica,1259,116484,629,6,4516,10021,4522,437,2085,20799,710,14100,12095,1844,329,3355,55,649,8768,6,11021,270,569,5,141587,23033,28119,18467,34305,155,21818,3841
63,Cote d'Ivoire,102377,237470,14061,941597,18365,54438,1063120,838,233951,88588,72153,597568,738820,4412,196,356626,3589,43512,46755,5238,74322,10679,41656,268,508223,77632,90757,101618,167433,8102,20768,7400
64,Croatia,801,381548,1567,0,3119,3029,302,1914,4843,18995,128,26059,4701,7910,13,550,1041,91,28210,7911,30633,846,30,248,750842,21218,46442,45633,76052,45,43338,11258
65,Cuba,5586,608854,3595,0,9760,21050,5894,544,1809,47723,2235,161570,11746,10775,198,11071,308,2036,56887,231,54973,726,1576,8,1003002,50214,96289,44142,100145,412,90719,18381
66,Cyprus,132,45436,241,0,847,648,83,353,182,5123,33,4651,1339,221,5,378,169,155,1612,7,14523,61,124,5,83156,7538,12054,3550,8568,27,5533,2107
67,Czechia,1832,861957,2755,0,6929,5216,356,2434,2759,36858,205,82308,7875,10735,81,3658,3738,1553,54378,17,59397,3645,1301,6,1652941,32131,87543,67652,136883,173,103793,22202
68,Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,Democratic Republic of Congo,297783,762610,42838,2557219,84451,74449,1006324,3444,1563620,768797,272262,1724304,1468390,13783,1403,1713685,9015,429553,125010,116313,244784,37676,416177,4069,1989495,181244,481359,336156,579357,49423,77790,17822
70,Denmark,1746,505940,2611,0,1267,2031,1493,5936,1278,14209,85,63979,4304,19899,13,6968,426,2944,27358,30,37380,381,1308,4,579330,24236,121567,30387,83455,75,65642,13120
71,Djibouti,3562,12025,611,1997,765,2263,20009,41,12608,3367,3510,18660,20256,191,198,14047,205,10246,1357,693,3180,468,10015,259,20843,2229,2888,4038,6626,372,823,218
72,Dominica,39,4757,60,0,129,211,190,9,117,403,30,918,390,102,114,78,0,88,112,1,1714,51,73,0,7296,1034,609,327,753,1,586,156
73,Dominican Republic,10923,205434,4366,556,8182,44560,69144,667,23417,67010,6423,58854,130457,3018,1461,41343,279,17100,15690,16,53725,1298,16460,15,502583,42605,40480,58486,82139,991,34476,8007
74,East Asia,499800,63187589,400034,13498,2959090,820202,446728,643705,2858479,8740746,260583,9003187,4580784,502984,145323,906967,202422,1220514,5276334,3082,3830972,790062,1141023,1078,103729089,4452864,37675192,5252692,9469981,326538,5606731,1595571
75,East Asia & Pacific - World Bank region,1241457,90894107,645803,349256,4228961,1803496,1918710,747629,9601727,13035092,887917,18852879,9844776,697150,585811,5339871,278778,2266275,7538828,73126,8733516,962097,2053698,0,148557650,8682699,46368217,10861324,18368435,662519,10435069,2434528
76,East Germany (GDR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
78,Eastern Europe,84905,13612219,462356,0,663293,1475685,545691,320801,720126,1478175,20253,1459927,342322,1625242,3548,33881,747352,26395,2435749,49914,513537,411754,12788,7366,51497092,418717,2423015,1952939,3531274,8116,1521080,365453
79,Eastern Mediterranean Region,1173058,9354542,410357,608788,484004,779532,297629,158138,3371274,4083939,979043,6492082,13213867,76370,190431,5758195,35160,1010976,933455,1338548,2209409,206418,831499,0,30781313,2602994,4453748,3372423,4554800,622355,1092453,313836
80,Eastern sub-Saharan Africa,1787598,3945271,225365,5285795,274692,611701,13802822,15388,6066010,1234620,1061495,8029165,8647399,60242,15578,7913857,65368,2842544,586897,1029584,1161706,245734,2751125,0,7976372,853252,1522068,1816725,2936213,220355,385460,90718
81,Ecuador,6070,346265,5630,8009,18924,69274,20616,1278,36910,113398,8541,147588,111654,12216,2368,34512,309,29134,34405,100,92543,2357,26034,14,443431,124947,71754,79243,148698,617,49500,13047
82,Egypt,39101,1160639,42655,0,33681,11933,2784,1366,35759,796157,34917,954868,504806,3349,1572,498193,1735,30709,70778,7542,370494,5649,26381,3779,5995471,445949,543660,1422256,1583081,56882,146785,49206
83,El Salvador,2863,128602,1573,34,7347,103286,16995,247,5070,41754,3236,63650,40341,27028,2468,26523,111,9761,15566,2542,41716,455,9725,795,222985,74204,35418,35406,62337,171,33957,5985
84,England,9530,4268791,12713,0,8184,10862,9309,47103,12333,93911,1428,1039222,52038,28010,244,29753,4549,4069,135347,819,161729,4794,2417,0,5421118,136010,1066163,192279,680163,568,643800,151778
85,Equatorial Guinea,2641,10692,430,28215,795,1017,31440,57,11858,6645,2354,15830,18016,151,0,17376,96,3065,1548,24,3884,356,2956,2,21631,2535,4232,2923,5634,255,1079,272
86,Eritrea,25311,71735,4098,11952,4850,13945,71881,261,141081,25804,25142,142415,101109,1226,3,163152,1543,61745,12046,43236,20247,3733,59708,46,134500,13241,26717,32760,51659,3074,3818,1202
87,Estonia,400,110152,3900,0,3320,5077,696,2246,2217,6864,62,7613,1394,8353,5,74,3762,161,11445,12,4273,685,108,3,280754,5523,9039,8316,17962,21,14250,2989
88,Eswatini,2988,22999,1507,795,1602,6018,154247,100,23660,10616,1263,25060,17107,272,12,19732,347,3896,5601,4,14892,684,3832,1,37935,6335,9328,5129,9281,263,1179,363
89,Ethiopia,605256,936826,69309,453984,82079,198391,1788429,4363,1739099,304197,373719,2343265,2851756,17110,2336,2514592,23032,823168,169112,158564,322887,101065,789723,1389,1936154,251375,398489,556480,878455,61336,101811,24304
90,Europe,210672,58705058,677944,229,958130,1811249,810408,598193,1124214,3503747,59240,7093939,1560614,2319152,31535,374759,855440,234977,4807562,155789,4375720,514019,186307,0,121472433,3620661,10639971,5782112,11498979,46831,8527386,1905940
91,Europe & Central Asia - World Bank region,252955,60020793,747645,5234,1113222,1943991,840243,620385,1361673,3779378,76168,7990351,2049451,2415747,34512,519451,904417,246457,5076247,182979,4583561,552884,190533,0,127546069,3795763,11127795,6362980,12233650,69740,8657713,1941983
92,European Region,254403,60500743,749379,5234,1115549,1951035,841474,622435,1365541,3805483,76532,8033225,2067171,2418213,34597,526769,904983,247495,5097527,192030,4673583,553404,191297,0,128296565,3860870,11197587,6390630,12298295,69963,8719048,1959125
93,European Union,82856,40671925,181185,0,250471,239737,259518,258938,287819,1711140,13888,4782608,410231,678273,5825,251458,111930,176542,2185593,13228,3048782,82482,149062,0,60503132,2602149,7060547,3417299,7212530,11200,6329875,1392269
94,Fiji,621,16990,748,0,1855,1038,300,72,1341,2802,571,6430,5653,48,212,3356,30,603,2448,8,35664,76,597,8,62710,6447,12012,2174,4415,86,1457,922
95,Finland,786,356717,2595,0,4186,4021,354,7087,2816,12636,87,50628,2513,17229,17,1737,3059,284,35088,80,14615,429,97,11,695600,12630,48037,30255,70121,71,64640,14795
96,France,8975,5067099,24380,0,31279,21575,50258,34180,49505,217006,2301,577479,45344,104758,913,47914,16249,103810,388163,792,324244,6253,99271,344,4729313,273752,607771,357490,839800,754,882954,180197
97,French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,G20,3334483,181825033,2097456,2574965,6729638,7386914,9665051,2252031,24122351,23328740,3186923,42994014,32729808,3718049,529092,31820946,1348241,5635102,18394033,195341,20536279,1497014,4448391,0,325931580,19196738,84624041,23483540,43507429,2302997,23762265,5659933
100,Gabon,3545,32112,869,25464,989,1911,43018,197,19145,13750,3383,23189,22255,461,1,14826,202,3054,4367,12,13941,688,2845,4,64442,8347,9013,10477,16123,380,3578,997
101,Gambia,7947,19405,1069,38603,1220,322,22926,53,18036,5698,8200,35453,44246,278,75,23536,261,5784,2433,41,5805,807,5553,13,48140,5907,8642,7777,14261,567,2632,812
102,Georgia,1303,223706,6921,12,5815,6198,377,582,9292,23007,617,28699,25580,2080,158,1786,878,245,9228,4142,31656,1351,81,278,1018279,16025,34751,48012,62230,249,40266,8453
103,Germany,10086,7325650,20982,0,17698,24943,28390,43072,24383,211341,1488,603119,46185,180344,280,66744,5408,11627,377986,388,621574,3303,8354,84,10819770,616900,1117582,654268,1335653,2446,1114977,264727
104,Ghana,128260,362922,15216,721339,16423,23702,493463,999,319504,124479,40268,448883,535128,4633,491,370749,3421,100393,41731,334,117345,11060,96591,19,794129,91364,130727,157443,244322,9465,34950,9136
105,Greece,1291,902379,3716,0,10847,4084,1009,7160,4587,56044,158,99752,7981,1085,238,594,852,306,13763,105,34134,918,155,100,1453438,96773,127666,42974,95956,1145,123503,31404
106,Greenland,50,3844,89,0,150,231,85,47,122,106,0,346,259,319,2,30,60,13,1366,0,159,26,10,0,3419,147,829,229,635,0,153,77
107,Grenada,39,4397,68,0,212,166,206,25,31,327,30,1490,475,84,19,60,0,98,149,3,1856,17,86,0,7700,1025,524,466,950,7,478,118
108,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Guam,46,4101,30,0,189,176,154,29,114,590,30,764,604,44,3,115,0,73,796,15,979,0,73,0,9418,936,1194,789,1023,0,587,192
110,Guatemala,8966,248339,5502,442,11727,161965,17114,3010,24579,50375,22395,316820,159183,46998,1863,153754,708,97606,25845,2658,104308,5073,91285,288,304449,89654,51045,111181,185491,341,28261,6875
111,Guinea,101125,202921,10740,362661,16168,20002,98415,312,142635,56337,61024,465928,359684,1918,39,289562,2488,85382,17788,1879,47968,7638,83345,212,363385,48969,76316,65990,108468,11236,22010,6613
112,Guinea-Bissau,13956,21933,1525,26595,2461,4143,29624,73,25865,13652,5811,43246,56058,346,8,56776,438,8301,3789,951,7328,1137,7976,17,52785,7372,10372,10860,18655,1749,1710,611
113,Guyana,353,18375,614,3420,1925,4718,6691,36,2557,4437,834,7884,10512,643,34,3448,114,2316,7177,63,13640,108,2036,33,63771,5593,2990,6511,10283,111,1730,570
114,Haiti,40890,227925,16152,28832,42062,77719,300695,716,45749,33503,44582,208656,156871,8097,231490,196771,4454,42414,22867,1029,97074,5693,41149,324,601708,48881,84435,50341,107579,3023,14787,5793
115,High SDI,130553,63002352,349207,995,540506,874822,709614,1109150,562683,3727625,50681,9436550,980514,910916,51051,562812,165859,353278,4283674,21699,5083809,124904,305450,0,79444153,5299798,12229131,4964062,10279687,26143,11072210,2129382
116,High-income,153419,72072209,365847,288,535187,945961,869030,1131596,528235,3690371,56171,10532266,1069090,909327,48906,607097,150346,427942,4449650,27395,5948674,114625,368719,0,88909010,6195727,14085769,5590045,11768488,26948,12758255,2478885
117,High-income Asia Pacific,20598,12879370,72907,162,229372,59694,9267,16640,264838,646186,5246,2938721,73925,55702,30049,86248,52751,48089,1215136,382,584434,25062,33263,0,11466591,1121836,1635883,1117323,1990759,9044,2931733,367527
118,High-income North America,43178,21022258,136713,0,124509,628481,545677,838110,42922,1452360,25978,2463147,461157,340495,11081,228647,44433,142060,1303721,12691,2226156,44471,128337,0,28655673,2163831,5352072,1637708,3316272,6253,3620152,743812
119,High-middle SDI,502523,65546768,838558,352691,1888947,2876333,1678522,609589,2797085,7141735,280902,8808740,4098289,2169856,103074,1230432,905668,502228,5818359,266665,5888412,755859,414512,0,139056861,5008759,20855254,7262545,12868610,205625,7871156,1899045
120,Honduras,4455,135345,1834,205,6785,100835,3735,1721,15393,29024,10356,35096,70799,7617,15648,58414,127,7735,5826,161,18770,1626,7123,110,270938,50046,68649,57558,120554,822,19534,6484
121,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
122,Hungary,2864,1036094,6238,0,6453,7584,3572,1338,6947,42672,363,34060,13123,22920,69,3589,7387,797,86210,10,66143,2333,316,6,1938728,35355,155490,165435,254541,125,102429,22142
123,Iceland,55,16360,60,0,92,80,47,265,69,536,0,2767,210,195,76,81,30,38,1107,0,607,30,33,0,21405,645,2644,436,1622,0,2925,784
124,India,2008944,17762703,730580,2439244,2110438,1237163,2454374,168928,15820922,5346154,2292449,16419404,20911570,527112,114044,26243547,334967,3290568,5543395,74430,4781170,170119,2356221,16210,52994710,4556172,25232974,6294910,11804381,1672179,1707561,756832
125,Indonesia,337724,4672674,51790,74664,237902,81342,74981,12980,3197011,1325509,376966,1820769,2238128,16158,191692,2590656,3614,604467,223144,7489,1888549,27837,560546,1139,13587012,964478,2559457,2249388,3204786,231909,487566,145752
126,International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Iran,30821,1242461,85948,13013,57888,60299,12695,76171,29658,840360,13881,319755,782644,6288,75410,51705,1804,13985,133625,9208,213971,36491,12817,607,3867575,246305,359283,153354,252304,17350,212745,48549
128,Iraq,29604,421656,31626,86,33077,90384,1451,11566,42775,160444,18547,175662,454485,1178,169,70537,1041,10598,43690,336979,173840,4017,9766,78428,1655522,154225,81596,62335,88429,5952,63014,14484
129,Ireland,622,252493,1422,0,1768,1132,510,3979,1300,9708,81,54142,3418,2545,20,785,320,396,14753,16,13527,405,187,14,334089,15477,67265,9614,30682,34,32298,8110
130,Israel,1044,331189,1348,0,1526,5255,1186,1640,1423,19927,262,32778,10404,1862,49,5931,419,990,15597,8833,63661,243,743,1320,353386,54179,47848,18669,46616,177,48452,12292
131,Italy,6584,5173525,13888,0,13429,23540,47691,22033,17573,234289,851,291040,39400,9444,1801,13056,5468,13147,141185,70,568245,4406,8727,26,6614384,346993,797579,432732,827170,2162,929827,179066
